2023-08-18 06:46:02,365 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-18 06:46:02,365 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,365 INFO  c.c.e.component.MariaDBAppender - [getlog]spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-18 06:46:02,426 INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23ac3788, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52e296c0, org.springframework.security.web.context.SecurityContextHolderFilter@4a0b1701, org.springframework.security.web.header.HeaderWriterFilter@23f4aaeb, org.springframework.web.filter.CorsFilter@1d77762f, org.springframework.security.web.authentication.logout.LogoutFilter@1a177f2c, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@46092840, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@57082d16, com.ctrlcv.ersentinel_springboot.config.jwt.JWTTokenAuthenticationFilter@2dc72c0c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@60e83cb9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@20de9df, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@60610a2b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e2bd635, org.springframework.security.web.session.SessionManagementFilter@22726bc7, org.springframework.security.web.access.ExceptionTranslationFilter@32bff23d]
2023-08-18 06:46:02,426 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,426 INFO  c.c.e.component.MariaDBAppender - [getlog]Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@23ac3788, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@52e296c0, org.springframework.security.web.context.SecurityContextHolderFilter@4a0b1701, org.springframework.security.web.header.HeaderWriterFilter@23f4aaeb, org.springframework.web.filter.CorsFilter@1d77762f, org.springframework.security.web.authentication.logout.LogoutFilter@1a177f2c, org.springframework.security.oauth2.client.web.OAuth2AuthorizationRequestRedirectFilter@46092840, org.springframework.security.oauth2.client.web.OAuth2LoginAuthenticationFilter@57082d16, com.ctrlcv.ersentinel_springboot.config.jwt.JWTTokenAuthenticationFilter@2dc72c0c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@60e83cb9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@20de9df, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@60610a2b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7e2bd635, org.springframework.security.web.session.SessionManagementFilter@22726bc7, org.springframework.security.web.access.ExceptionTranslationFilter@32bff23d]
2023-08-18 06:46:02,521 INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: ServletContext resource [/index.html]
2023-08-18 06:46:02,521 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,521 INFO  c.c.e.component.MariaDBAppender - [getlog]Adding welcome page: ServletContext resource [/index.html]
2023-08-18 06:46:02,633 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-08-18 06:46:02,633 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,633 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting ProtocolHandler ["http-nio-8080"]
2023-08-18 06:46:02,640 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-08-18 06:46:02,640 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:02,640 INFO  c.c.e.component.MariaDBAppender - [getlog]Tomcat started on port(s): 8080 (http) with context path ''
2023-08-18 06:46:02,647 INFO  c.c.e.ErsentinelSpringbootApplication - Started ErsentinelSpringbootApplication in 3.786 seconds (process running for 4.015)
2023-08-18 06:46:02,648 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
